hasName,animalType,sex,isIntact,monthsOld,breed1,breed2,isMix,color1,color2,outcome
true,Dog,F,false,48,Black Mouth Cur,,true,Tan,Black,Return_to_owner
true,Dog,M,false,24,Dachshund,Beagle,false,Brown,White,Adoption
true,Cat,M,true,12,Domestic Shorthair,,true,Orange Tabby,White,Transfer
true,Dog,F,false,132,Yorkshire Terrier,,true,Brown,Black,Euthanasia
true,Cat,F,true,1,Domestic Shorthair,,true,Black,,Transfer
true,Dog,F,false,24,Dachshund,,true,Tan,White,Adoption
false,Cat,,,0,Domestic Shorthair,,true,Black,,Transfer
true,Dog,F,false,72,Maltese,,true,White,,Return_to_owner
true,Dog,M,false,6,Pointer,,true,Black,White,Transfer
true,Dog,F,true,2,English Foxhound,,false,Buff,,Transfer
false,Cat,,,2,Domestic Shorthair,,true,Brown Tabby,White,Transfer
true,Dog,F,false,12,Chihuahua Shorthair,,true,Red,,Adoption
true,Dog,M,false,2,Vizsla,,true,Brown,,Adoption
true,Dog,M,false,24,Pit Bull,,true,Brown Brindle,White,Transfer
false,Dog,F,false,36,German Shepherd,Great Pyrenees,false,White,,Adoption
true,Cat,F,true,12,Domestic Shorthair,,true,Black,,Return_to_owner
true,Dog,F,false,48,Yorkshire Terrier,,true,Blue,Tan,Return_to_owner
true,Dog,F,false,24,Cardigan Welsh Corgi,Chihuahua Shorthair,false,Tan,,Transfer
true,Cat,F,false,3,Domestic Longhair,,false,Brown Tabby,,Adoption
false,Cat,F,true,12,Domestic Shorthair,,true,Calico,,Euthanasia
true,Dog,M,false,2,Chow Chow,Pit Bull,false,Black,,Adoption
false,Cat,F,false,24,Domestic Shorthair,,true,Black,White,Transfer
true,Dog,M,false,12,Chihuahua Shorthair,,false,White,,Adoption
false,Cat,,,0,Domestic Shorthair,,true,Blue Tabby,,Euthanasia
true,Cat,,,0,Siamese,,true,Seal Point,,Transfer
false,Cat,M,true,24,Domestic Shorthair,,true,Blue Tabby,,Transfer
true,Dog,M,false,144,Pit Bull,,true,Brown Brindle,,Euthanasia
false,Dog,M,false,12,Dachshund,Beagle,false,Brown,White,Adoption
true,Cat,M,false,2,Domestic Shorthair,,true,Black,,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,Black,,Transfer
false,Dog,F,true,3,Labrador Retriever,,true,Black,White,Transfer
false,Cat,F,false,3,Domestic Medium Hair,,true,Calico,,Adoption
true,Dog,M,false,5,Plott Hound,,true,Brown Brindle,White,Adoption
true,Dog,F,false,36,Boxer,Great Dane,false,Black,,Adoption
true,Dog,F,false,84,Lhasa Apso,,false,White,Black,Transfer
true,Dog,F,false,24,German Shepherd,,true,Black,Tan,Euthanasia
true,Cat,F,false,4,Domestic Shorthair,,true,Black,,Adoption
true,Dog,F,false,108,Beagle,Treeing Walker Coonhound,false,White,Brown,Adoption
true,Dog,M,false,7,Border Collie,,true,Black,White,Transfer
false,Cat,M,false,2,Domestic Shorthair,,true,Black,White,Adoption
false,Cat,M,true,36,Domestic Shorthair,,true,Black,White,Transfer
false,Dog,M,false,36,Border Terrier,,true,Gray,,Adoption
true,Dog,M,false,60,Chihuahua Shorthair,,true,Tan,White,Adoption
true,Dog,M,false,60,Boxer,,true,Brown Brindle,White,Transfer
false,Cat,F,true,0,Domestic Medium Hair,,true,Blue,,Transfer
false,Cat,,,0,Domestic Shorthair,,true,Black,,Transfer
true,Cat,F,false,48,Domestic Shorthair,,true,Torbie,,Transfer
true,Dog,M,false,48,Cairn Terrier,,true,Tan,White,Return_to_owner
true,Cat,M,false,2,Domestic Shorthair,,true,Brown Tabby,,Adoption
true,Dog,F,false,24,Chihuahua Shorthair,,true,Black,Tan,Return_to_owner
true,Dog,M,false,24,Dogo Argentino,,true,White,,Adoption
true,Dog,M,false,108,Dachshund,,true,Black,Brown,Return_to_owner
true,Dog,M,false,60,Beagle,,true,Tricolor,,Return_to_owner
true,Dog,M,false,12,Chihuahua Shorthair,Dachshund,false,Yellow Brindle,White,Euthanasia
true,Dog,F,false,24,Pit Bull,,true,Fawn,White,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
true,Dog,M,true,5,Pit Bull,,true,White,Brown,Transfer
false,Cat,M,true,72,Domestic Shorthair,,true,Orange Tabby,,Euthanasia
true,Dog,F,false,12,Chihuahua Shorthair,,true,Tan,,Adoption
true,Dog,M,true,3,Chihuahua Shorthair,,true,Black,White,Transfer
true,Cat,F,true,1,Domestic Longhair,,true,Calico,,Transfer
true,Dog,F,false,36,Chihuahua Shorthair,,true,Brown,,Return_to_owner
true,Dog,M,false,60,Dachshund,,true,Black,,Return_to_owner
true,Dog,M,false,96,Miniature Schnauzer,Miniature Poodle,false,Black,,Adoption
false,Dog,F,false,2,Labrador Retriever,,true,Black,White,Adoption
false,Cat,F,true,84,Domestic Shorthair,,true,Tortie,,Euthanasia
true,Cat,F,true,2,Domestic Shorthair,,true,Black,,Adoption
true,Dog,M,false,60,Pit Bull,,false,Black,,Adoption
true,Dog,M,false,12,Pit Bull,,true,White,Brown,Adoption
false,Cat,M,true,3,Domestic Shorthair,,true,Brown Tabby,,Transfer
true,Dog,M,false,24,Chihuahua Shorthair,,true,Brown,White,Return_to_owner
true,Dog,F,false,108,Labrador Retriever,,true,Chocolate,White,Return_to_owner
true,Dog,F,false,36,Pit Bull,,true,Red,White,Adoption
true,Cat,F,false,36,Domestic Shorthair,,true,Calico,,Return_to_owner
true,Dog,F,false,12,Chihuahua Shorthair,Jack Russell Terrier,false,Black,White,Adoption
true,Dog,F,false,24,Chihuahua Shorthair,,true,Black,Tan,Transfer
true,Dog,F,false,12,Pit Bull,,false,Brown Brindle,,Return_to_owner
true,Cat,M,false,24,Siamese,,true,Flame Point,,Transfer
true,Dog,F,false,24,Tibetan Terrier,,true,Brown,,Return_to_owner
false,Cat,F,true,24,Domestic Shorthair,,true,Blue,White,Transfer
false,Cat,,,3,Domestic Shorthair,,true,Tortie,,Transfer
true,Dog,F,false,1,Miniature Pinscher,Chihuahua Shorthair,false,Tricolor,,Adoption
false,Cat,M,false,2,Domestic Shorthair,,true,Orange Tabby,White,Adoption
false,Cat,M,false,10,Domestic Medium Hair,,true,Cream Tabby,,Adoption
true,Cat,F,false,24,Domestic Medium Hair,,true,Brown Tabby,White,Transfer
true,Cat,F,false,2,Domestic Medium Hair,,true,Calico,,Adoption
true,Dog,M,false,6,Labrador Retriever,,true,Yellow,,Adoption
true,Cat,F,false,2,Domestic Shorthair,,true,Brown Tabby,,Adoption
false,Dog,F,false,12,Dachshund,,true,Tan,,Adoption
true,Dog,F,true,6,Dachshund,,true,Brown,White,Transfer
true,Cat,F,false,12,Domestic Shorthair,,true,Black,White,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,Calico,,Transfer
true,Cat,M,false,24,Domestic Shorthair,,true,Brown Tabby,,Adoption
true,Dog,F,false,11,Blue Lacy,,true,Blue,White,Adoption
false,Dog,M,false,3,Rat Terrier,,true,Tricolor,,Transfer
true,Dog,F,false,24,Dachshund Longhair,,false,Brown,,Return_to_owner
true,Dog,M,false,24,Pit Bull,,true,Red,,Transfer
true,Dog,M,false,24,Pit Bull,,true,Brown,White,Adoption
true,Cat,F,false,4,Domestic Longhair,,false,Calico,,Adoption
false,Dog,F,true,4,Dachshund,Chihuahua Shorthair,false,Red,,Transfer
false,Cat,F,true,5,Domestic Shorthair,,true,Torbie,,Transfer
true,Cat,M,false,2,Domestic Shorthair,,true,Black Tabby,White,Adoption
true,Dog,M,false,84,Chihuahua Shorthair,,true,Brown,White,Transfer
true,Cat,M,false,48,Domestic Shorthair,,true,Black,White,Adoption
false,Cat,F,true,0,Domestic Shorthair,,true,Tortie,Calico,Transfer
true,Dog,M,false,6,Border Collie,,true,Black,White,Adoption
true,Dog,F,true,5,Labrador Retriever,,true,Black,White,Adoption
true,Dog,F,false,96,Maltese,,false,White,,Return_to_owner
false,Cat,M,false,2,Domestic Shorthair,,true,Black,,Adoption
true,Cat,F,false,1,Domestic Shorthair,,true,Blue Tabby,White,Adoption
false,Dog,F,false,5,Labrador Retriever,,true,White,,Return_to_owner
true,Cat,M,true,1,Domestic Shorthair,,true,Brown Tabby,,Transfer
false,Cat,M,true,4,Domestic Shorthair,,true,Blue Tabby,,Transfer
true,Dog,F,false,12,Chihuahua Shorthair,,true,White,Tan,Adoption
true,Dog,M,false,24,Labrador Retriever,Rottweiler,false,Black,Brown,Adoption
true,Cat,F,false,132,Domestic Shorthair,,true,Tortie,,Transfer
false,Dog,M,false,2,Dachshund,Manchester Terrier,false,Tricolor,,Adoption
true,Cat,M,false,2,Domestic Shorthair,,true,White,Black,Transfer
true,Cat,F,true,2,Domestic Shorthair,,true,Brown Tabby,,Adoption
true,Dog,F,false,1,Plott Hound,Labrador Retriever,false,Black,Brown Brindle,Adoption
true,Dog,F,false,84,Chihuahua Shorthair,Rat Terrier,false,White,Tan,Return_to_owner
false,Cat,M,true,0,Domestic Shorthair,,true,Cream Tabby,White,Transfer
true,Dog,M,false,48,Siberian Husky,,false,White,Gray,Return_to_owner
true,Dog,F,false,24,Australian Cattle Dog,,true,Tan,White,Transfer
true,Dog,F,false,12,Pointer,,true,White,Black,Return_to_owner
true,Dog,M,false,24,Pit Bull,,true,Brown Brindle,White,Return_to_owner
false,Cat,F,true,0,Domestic Medium Hair,,true,Brown Tabby,,Transfer
true,Cat,F,true,12,Domestic Shorthair,,true,Black,White,Transfer
true,Dog,F,false,24,Yorkshire Terrier,Miniature Poodle,false,Tan,Silver,Adoption
false,Cat,M,true,10,Domestic Shorthair,,true,Orange Tabby,,Transfer
true,Dog,F,false,48,German Shepherd,,true,White,,Transfer
true,Cat,F,false,4,Domestic Shorthair,,true,Brown Tabby,White,Adoption
true,Dog,F,false,72,Catahoula,Labrador Retriever,false,White,Tan,Transfer
false,Dog,F,false,9,Miniature Poodle,,true,Black,White,Adoption
true,Dog,F,false,36,Jack Russell Terrier,Pit Bull,false,Red,,Adoption
true,Cat,F,false,8,Domestic Shorthair,,true,Torbie,,Adoption
true,Dog,F,false,10,Queensland Heeler,Shetland Sheepdog,false,Red Tick,Black,Adoption
false,Cat,M,false,12,Domestic Shorthair,,true,White,Cream Tabby,Transfer
true,Dog,M,false,12,Catahoula,,true,Blue Merle,,Adoption
true,Dog,M,false,12,Labrador Retriever,,true,Black,White,Adoption
true,Dog,M,false,3,Labrador Retriever,,true,Yellow,,Adoption
true,Dog,M,true,72,Chihuahua Shorthair,,true,Chocolate,Tan,Return_to_owner
false,Cat,,,12,Domestic Longhair,,true,Black,,Transfer
true,Dog,M,false,24,American Pit Bull Terrier,,true,Tan,White,Return_to_owner
false,Dog,F,false,60,Dachshund Longhair,,true,Tan,White,Adoption
false,Cat,M,false,144,Domestic Longhair,,true,Orange Tabby,White,Euthanasia
true,Dog,F,false,24,German Shepherd,,true,Sable,,Adoption
true,Dog,M,false,72,Labrador Retriever,,true,Black,White,Adoption
true,Cat,M,false,3,Domestic Shorthair,,true,Black,,Adoption
true,Dog,F,false,8,Doberman Pinsch,,true,Tricolor,,Return_to_owner
true,Cat,M,false,12,Domestic Shorthair,,true,Black,,Transfer
true,Cat,F,true,180,Domestic Shorthair,,true,Black,,Transfer
false,Dog,F,true,0,Pointer,,true,Chocolate,White,Transfer
true,Dog,M,false,5,Dachshund,Jack Russell Terrier,false,White,Brown,Adoption
false,Dog,M,false,24,Miniature Poodle,Miniature Schnauzer,false,Black,White,Adoption
true,Dog,F,false,24,Whippet,,true,Brown Brindle,White,Adoption
true,Dog,M,true,24,Australian Shepherd,,true,Brown Merle,White,Return_to_owner
false,Dog,F,false,24,Labrador Retriever,,true,Tan,White,Adoption
false,Cat,F,true,0,Domestic Shorthair,,true,Calico,,Transfer
true,Dog,F,false,12,Pit Bull,,true,Brown Tiger,White,Transfer
false,Cat,M,true,24,Domestic Shorthair,,true,Brown Tabby,White,Transfer
true,Cat,M,true,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
true,Dog,M,false,48,Chihuahua Shorthair,,true,White,Brown,Transfer
false,Cat,M,true,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
true,Cat,M,true,2,Domestic Shorthair,,true,Black,,Adoption
true,Dog,F,false,12,Rat Terrier,,true,White,Black,Transfer
true,Dog,F,false,2,English Pointer,,true,Brown,White,Adoption
true,Dog,F,false,12,Miniature Schnauzer,Yorkshire Terrier,false,Black,White,Adoption
false,Dog,F,false,36,Cairn Terrier,,true,Buff,,Adoption
true,Dog,M,false,108,Labrador Retriever,Pit Bull,false,Black,,Euthanasia
true,Cat,F,false,24,Domestic Shorthair,,true,White,Black,Return_to_owner
false,Dog,F,false,60,Great Dane,,false,Black,White,Transfer
true,Dog,M,true,24,Chihuahua Shorthair,,true,Black,White,Return_to_owner
true,Dog,M,false,24,Chesa Bay Retr,,false,Brown,,Return_to_owner
true,Dog,M,false,84,German Shepherd,,false,Brown,Black,Return_to_owner
false,Cat,F,true,12,Domestic Shorthair,,true,Brown Tabby,White,Transfer
true,Cat,F,false,72,Domestic Shorthair,,true,Black,White,Adoption
true,Cat,M,false,2,Domestic Shorthair,,true,Orange Tabby,White,Adoption
true,Dog,F,false,12,Chihuahua Shorthair,,true,Tan,Black,Return_to_owner
false,Cat,M,false,2,Domestic Shorthair,,true,Orange Tabby,White,Adoption
true,Dog,F,false,72,Plott Hound,,true,Brown Brindle,,Return_to_owner
false,Cat,M,true,2,Domestic Shorthair,,true,Brown Tabby,White,Transfer
true,Dog,F,false,24,Chihuahua Shorthair,,true,Brown,Black,Adoption
true,Cat,M,false,84,Siamese,,true,Flame Point,,Adoption
true,Cat,F,false,3,Domestic Shorthair,,true,Brown Tabby,White,Adoption
true,Dog,M,false,36,Chow Chow,,true,Red,,Adoption
false,Cat,F,true,24,Domestic Shorthair,,true,Black,,Transfer
false,Dog,F,false,84,English Pointer,,false,Liver,White,Adoption
false,Cat,M,true,1,Domestic Shorthair,,true,White,Blue Tabby,Euthanasia
true,Dog,F,false,24,Pit Bull,,true,Brown,White,Return_to_owner
true,Dog,F,true,5,Boxer,,true,Black,White,Return_to_owner
true,Dog,M,false,48,Basset Hound,Labrador Retriever,false,Black,White,Transfer
true,Dog,M,false,24,Labrador Retriever,,true,Buff,,Return_to_owner
true,Dog,F,false,84,Airedale Terrier,,true,Tricolor,,Transfer
true,Dog,M,false,12,Labrador Retriever,Chow Chow,false,Brown,,Adoption
false,Cat,M,false,1,Domestic Shorthair,,true,Orange Tabby,White,Transfer
true,Dog,M,false,1,Beagle,German Shepherd,false,Black,Brown,Adoption
true,Cat,M,false,2,Manx,,true,White,Black,Adoption
false,Cat,F,true,36,Domestic Shorthair,,true,Blue,,Transfer
true,Dog,F,false,48,Chihuahua Shorthair,Rat Terrier,false,Tan,White,Transfer
true,Dog,F,false,12,Pit Bull,,true,Black,White,Adoption
true,Dog,F,false,24,Flat Coat Retriever,,true,Black,White,Adoption
true,Dog,F,false,120,Cocker Spaniel,,false,Buff,,Transfer
true,Cat,M,false,2,Domestic Shorthair,,true,Brown Tabby,,Adoption
true,Dog,F,false,120,Chihuahua Shorthair,,true,Tan,,Adoption
true,Cat,F,false,24,Domestic Longhair,,true,Brown Tabby,White,Adoption
true,Dog,F,false,84,Rat Terrier,,true,White,Black,Return_to_owner
false,Dog,M,false,12,Border Terrier,Chihuahua Shorthair,false,Tan,Black,Adoption
true,Dog,M,false,60,Pit Bull,,true,Brown Brindle,White,Transfer
true,Dog,F,false,72,Chihuahua Shorthair,,true,Black,Gray,Return_to_owner
false,Cat,,,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
false,Dog,F,false,84,Pit Bull,,true,Tan,White,Euthanasia
true,Dog,M,false,12,Chihuahua Longhair,,true,Black,,Adoption
true,Dog,M,false,12,Jack Russell Terrier,Dachshund,false,White,Brown,Adoption
false,Cat,F,true,0,Domestic Shorthair,,true,Orange Tabby,,Transfer
false,Cat,F,true,12,Domestic Shorthair,,true,Orange Tabby,,Transfer
true,Dog,M,false,60,German Shepherd,,false,Black,Brown,Return_to_owner
true,Dog,F,false,24,Rottweiler,,true,Black,Tan,Return_to_owner
true,Dog,M,false,10,Siberian Husky,,true,White,Cream,Adoption
false,Cat,F,true,3,Domestic Shorthair,,true,Black,,Transfer
true,Dog,M,false,9,Cardigan Welsh Corgi,Cardigan Welsh Corgi,false,Fawn,White,Adoption
false,Cat,F,true,1,Domestic Shorthair,,true,Black,White,Transfer
false,Cat,,,0,Domestic Shorthair,,true,Blue,,Transfer
false,Cat,F,false,60,Domestic Shorthair,,true,Calico,,Transfer
false,Dog,F,false,8,Chihuahua Shorthair,,true,Chocolate,White,Adoption
false,Dog,M,true,12,Cairn Terrier,,true,Cream,,Transfer
true,Cat,F,false,2,Domestic Shorthair,,true,Orange Tabby,,Adoption
true,Cat,M,false,3,Domestic Shorthair,,false,Black,White,Return_to_owner
true,Dog,M,true,168,Chihuahua Shorthair,,true,Chocolate,White,Return_to_owner
true,Dog,M,false,84,Labrador Retriever,,true,Chocolate,,Return_to_owner
true,Dog,M,false,24,Shih Tzu,,false,Gray,White,Adoption
true,Dog,F,false,6,Plott Hound,,true,Brown Brindle,,Transfer
true,Dog,M,false,11,Australian Shepherd,,true,Tan,White,Adoption
true,Dog,M,false,36,Chihuahua Shorthair,,true,Tan,White,Adoption
true,Cat,F,true,2,Domestic Longhair,,true,Black,White,Transfer
true,Dog,M,false,12,Labrador Retriever,Border Collie,false,Black,White,Adoption
false,Cat,F,true,0,Siamese,,true,Blue Point,,Euthanasia
true,Dog,M,false,48,Chihuahua Shorthair,,true,White,Brown,Euthanasia
true,Cat,M,false,96,Domestic Medium Hair,,true,Orange Tabby,,Adoption
true,Cat,F,false,3,Domestic Shorthair,,true,Calico,,Adoption
true,Dog,F,false,2,Australian Cattle Dog,,true,Brown,White,Adoption
false,Cat,F,false,4,Domestic Shorthair,,true,Tortie,,Adoption
false,Dog,M,true,24,Labrador Retriever,Great Dane,false,Tan,Black,Euthanasia
true,Dog,M,false,72,Dachshund,,true,Brown,,Return_to_owner
true,Dog,F,false,11,Boxer,,true,Brown Brindle,White,Transfer
false,Dog,F,false,12,Labrador Retriever,,true,Tan,White,Transfer
false,Dog,M,false,48,Shih Tzu,Miniature Poodle,false,Apricot,White,Transfer
true,Cat,M,false,2,Domestic Medium Hair,,true,Blue,White,Adoption
false,Dog,M,false,24,Pit Bull,,true,Red,,Transfer
false,Dog,F,false,2,Australian Cattle Dog,,true,Red Merle,Black,Adoption
true,Cat,M,false,6,Domestic Shorthair,,true,Black,,Adoption
true,Cat,M,false,96,Domestic Shorthair,,true,Black,White,Adoption
true,Cat,M,false,36,Domestic Shorthair,,true,Brown Tabby,,Return_to_owner
true,Dog,M,false,24,Chihuahua Shorthair,,true,Brown,White,Adoption
false,Dog,M,true,2,Australian Cattle Dog,,true,White,Brown,Transfer
false,Cat,F,true,0,Domestic Shorthair,,true,Tortie,,Transfer
true,Cat,F,false,2,Domestic Shorthair,,true,Brown Tabby,,Adoption
true,Dog,M,false,48,German Shepherd,,true,Brown,,Adoption
true,Cat,M,false,60,Domestic Shorthair,,true,Brown Tabby,White,Transfer
true,Dog,F,false,24,Pointer,,true,Chocolate,White,Adoption
false,Cat,F,true,6,Domestic Medium Hair,,true,Calico,,Transfer
false,Dog,F,false,24,Miniature Poodle,,true,Black,Gray,Transfer
true,Dog,F,false,120,Collie Smooth,Chow Chow,false,Sable,,Return_to_owner
false,Cat,M,true,6,Domestic Shorthair,,true,Black,White,Transfer
true,Cat,F,true,2,Domestic Shorthair,,true,Calico,,Transfer
true,Dog,M,false,6,Cocker Spaniel,,true,Sable,,Adoption
true,Dog,M,false,96,Chihuahua Shorthair,,true,Tricolor,,Return_to_owner
false,Dog,M,false,6,Labrador Retriever,,true,Buff,,Adoption
false,Cat,M,true,3,Siamese,,true,Seal Point,,Transfer
true,Dog,F,false,12,Rottweiler,Labrador Retriever,false,Black,Tan,Adoption
true,Dog,F,false,12,Chihuahua Shorthair,,true,Brown,Black,Adoption
true,Dog,M,false,2,Boxer,,true,Tricolor,,Adoption
false,Cat,,,0,Domestic Shorthair,,true,Blue Tabby,,Transfer
false,Dog,F,false,24,Chihuahua Shorthair,,true,Tan,,Adoption
false,Cat,F,false,2,Domestic Shorthair,,true,Orange Tabby,White,Adoption
true,Cat,M,false,9,Domestic Shorthair,,true,White,Brown Tabby,Return_to_owner
false,Dog,F,false,48,Rat Terrier,,true,Black,White,Transfer
true,Dog,M,false,4,German Shepherd,Siberian Husky,false,Red,White,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,White,,Transfer
true,Dog,M,true,72,Dachshund,,false,Blue Merle,White,Transfer
true,Dog,F,false,2,Border Collie,Labrador Retriever,false,Black,White,Adoption
false,Cat,F,true,8,Domestic Shorthair,,true,Blue Tabby,,Transfer
true,Cat,M,true,1,Domestic Shorthair,,true,Black,White,Transfer
false,Cat,F,true,4,Domestic Shorthair,,true,Black,,Transfer
true,Cat,F,true,2,Domestic Shorthair,,true,Torbie,,Adoption
true,Dog,F,true,24,Pit Bull,,true,Fawn,,Return_to_owner
false,Dog,M,false,4,Collie Smooth,Labrador Retriever,false,Tricolor,,Adoption
false,Cat,M,true,12,Domestic Shorthair,,true,Brown Tabby,,Transfer
false,Cat,F,false,3,Siamese,,true,Lynx Point,White,Adoption
false,Cat,M,true,2,Domestic Shorthair,,true,Black,White,Transfer
true,Cat,F,false,4,Domestic Shorthair,,true,Orange Tabby,White,Adoption
true,Dog,M,false,60,Plott Hound,Rhod Ridgeback,false,Brown Brindle,,Adoption
true,Dog,F,false,24,Pit Bull,,true,Fawn,White,Return_to_owner
false,Cat,F,true,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
true,Cat,F,false,2,Domestic Shorthair,,true,Black,,Adoption
false,Dog,F,false,10,Chihuahua Shorthair,,true,Tan,White,Adoption
false,Dog,M,false,24,Pointer,Labrador Retriever,false,Black,White,Transfer
true,Dog,F,false,10,Anatol Shepherd,Great Pyrenees,false,White,,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,Blue,,Transfer
true,Dog,M,false,12,Anatol Shepherd,,false,Fawn,Black,Return_to_owner
true,Cat,F,false,7,Domestic Shorthair,,true,Brown Tabby,White,Adoption
true,Dog,F,false,24,Pit Bull,,true,Brown,White,Adoption
true,Dog,F,false,84,Great Dane,,false,Black,White,Transfer
true,Cat,M,false,2,Domestic Shorthair,,true,Brown Tabby,,Adoption
true,Cat,M,false,144,Domestic Shorthair,,true,Black,White,Euthanasia
true,Dog,F,true,36,Australian Cattle Dog,,true,Tricolor,,Transfer
true,Cat,F,false,3,Domestic Shorthair,,true,Black,White,Transfer
true,Dog,F,false,24,Chinese Sharpei,Australian Cattle Dog,false,Red Tick,White,Adoption
true,Dog,F,true,144,Labrador Retriever,,true,Yellow,,Return_to_owner
true,Dog,F,false,12,Flat Coat Retriever,,true,Black,,Adoption
false,Dog,M,false,36,Labrador Retriever,,true,Yellow,,Transfer
true,Cat,F,false,1,Domestic Shorthair,,true,Calico,,Adoption
false,Dog,,,0,Labrador Retriever,,true,White,,Transfer
true,Dog,F,false,9,Rat Terrier,,true,Tricolor,,Return_to_owner
true,Cat,F,false,2,Domestic Longhair,,true,Black,White,Adoption
true,Dog,M,false,24,Akita,Pit Bull,false,Tan,White,Euthanasia
true,Dog,M,false,84,American Bulldog,,true,White,,Return_to_owner
