hasName,animalType,sex,isIntact,monthsOld,breed1,breed2,color1,color2,outcome
false,Cat,M,true,36,Domestic Shorthair Mix,,Black,White,Transfer
false,Dog,M,false,36,Border Terrier Mix,,Gray,,Adoption
true,Dog,M,false,60,Chihuahua Shorthair Mix,,Tan,White,Adoption
true,Dog,M,false,60,Boxer Mix,,Brown Brindle,White,Transfer
false,Cat,F,true,0,Domestic Medium Hair Mix,,Blue,,Transfer
false,Cat,,,0,Domestic Shorthair Mix,,Black,,Transfer
true,Cat,F,false,48,Domestic Shorthair Mix,,Torbie,,Transfer
true,Dog,M,false,48,Cairn Terrier Mix,,Tan,White,Return_to_owner
true,Cat,M,false,2,Domestic Shorthair Mix,,Brown Tabby,,Adoption
true,Dog,F,false,24,Chihuahua Shorthair Mix,,Black,Tan,Return_to_owner
true,Dog,M,false,24,Dogo Argentino Mix,,White,,Adoption
true,Dog,M,false,108,Dachshund Mix,,Black,Brown,Return_to_owner
true,Dog,M,false,60,Beagle Mix,,Tricolor,,Return_to_owner
true,Dog,M,false,12,Chihuahua Shorthair,Dachshund,Yellow Brindle,White,Euthanasia
true,Dog,F,false,24,Pit Bull Mix,,Fawn,White,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
true,Dog,M,true,5,Pit Bull Mix,,White,Brown,Transfer
false,Cat,M,true,72,Domestic Shorthair Mix,,Orange Tabby,,Euthanasia
true,Dog,F,false,12,Chihuahua Shorthair Mix,,Tan,,Adoption
true,Dog,M,true,3,Chihuahua Shorthair Mix,,Black,White,Transfer
true,Cat,F,true,1,Domestic Longhair Mix,,Calico,,Transfer
true,Dog,F,false,36,Chihuahua Shorthair Mix,,Brown,,Return_to_owner
true,Dog,M,false,60,Dachshund Mix,,Black,,Return_to_owner
true,Dog,M,false,96,Miniature Schnauzer,Miniature Poodle,Black,,Adoption
false,Dog,F,false,2,Labrador Retriever Mix,,Black,White,Adoption
false,Cat,F,true,84,Domestic Shorthair Mix,,Tortie,,Euthanasia
true,Cat,F,true,2,Domestic Shorthair Mix,,Black,,Adoption
true,Dog,M,false,60,Pit Bull,,Black,,Adoption
true,Dog,M,false,12,Pit Bull Mix,,White,Brown,Adoption
false,Cat,M,true,3,Domestic Shorthair Mix,,Brown Tabby,,Transfer
true,Dog,M,false,24,Chihuahua Shorthair Mix,,Brown,White,Return_to_owner
true,Dog,F,false,108,Labrador Retriever Mix,,Chocolate,White,Return_to_owner
true,Dog,F,false,36,Pit Bull Mix,,Red,White,Adoption
true,Cat,F,false,36,Domestic Shorthair Mix,,Calico,,Return_to_owner
true,Dog,F,false,12,Chihuahua Shorthair,Jack Russell Terrier,Black,White,Adoption
true,Dog,F,false,24,Chihuahua Shorthair Mix,,Black,Tan,Transfer
true,Dog,F,false,12,Pit Bull,,Brown Brindle,,Return_to_owner
true,Cat,M,false,24,Siamese Mix,,Flame Point,,Transfer
true,Dog,F,false,24,Tibetan Terrier Mix,,Brown,,Return_to_owner
false,Cat,F,true,24,Domestic Shorthair Mix,,Blue,White,Transfer
false,Cat,,,3,Domestic Shorthair Mix,,Tortie,,Transfer
true,Dog,F,false,1,Miniature Pinscher,Chihuahua Shorthair,Tricolor,,Adoption
false,Cat,M,false,2,Domestic Shorthair Mix,,Orange Tabby,White,Adoption
false,Cat,M,false,10,Domestic Medium Hair Mix,,Cream Tabby,,Adoption
true,Cat,F,false,24,Domestic Medium Hair Mix,,Brown Tabby,White,Transfer
true,Cat,F,false,2,Domestic Medium Hair Mix,,Calico,,Adoption
true,Dog,M,false,6,Labrador Retriever Mix,,Yellow,,Adoption
true,Cat,F,false,2,Domestic Shorthair Mix,,Brown Tabby,,Adoption
false,Dog,F,false,12,Dachshund Mix,,Tan,,Adoption
true,Dog,F,true,6,Dachshund Mix,,Brown,White,Transfer
true,Cat,F,false,12,Domestic Shorthair Mix,,Black,White,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,Calico,,Transfer
true,Cat,M,false,24,Domestic Shorthair Mix,,Brown Tabby,,Adoption
true,Dog,F,false,11,Blue Lacy Mix,,Blue,White,Adoption
false,Dog,M,false,3,Rat Terrier Mix,,Tricolor,,Transfer
true,Dog,F,false,24,Dachshund Longhair,,Brown,,Return_to_owner
true,Dog,M,false,24,Pit Bull Mix,,Red,,Transfer
true,Dog,M,false,24,Pit Bull Mix,,Brown,White,Adoption
true,Cat,F,false,4,Domestic Longhair,,Calico,,Adoption
false,Dog,F,true,4,Dachshund,Chihuahua Shorthair,Red,,Transfer
false,Cat,F,true,5,Domestic Shorthair Mix,,Torbie,,Transfer
true,Cat,M,false,2,Domestic Shorthair Mix,,Black Tabby,White,Adoption
true,Dog,M,false,84,Chihuahua Shorthair Mix,,Brown,White,Transfer
true,Cat,M,false,48,Domestic Shorthair Mix,,Black,White,Adoption
false,Cat,F,true,0,Domestic Shorthair Mix,,Tortie,Calico,Transfer
true,Dog,M,false,6,Border Collie Mix,,Black,White,Adoption
true,Dog,F,true,5,Labrador Retriever Mix,,Black,White,Adoption
true,Dog,F,false,96,Maltese,,White,,Return_to_owner
false,Cat,M,false,2,Domestic Shorthair Mix,,Black,,Adoption
true,Cat,F,false,1,Domestic Shorthair Mix,,Blue Tabby,White,Adoption
false,Dog,F,false,5,Labrador Retriever Mix,,White,,Return_to_owner
true,Cat,M,true,1,Domestic Shorthair Mix,,Brown Tabby,,Transfer
false,Cat,M,true,4,Domestic Shorthair Mix,,Blue Tabby,,Transfer
true,Dog,F,false,12,Chihuahua Shorthair Mix,,White,Tan,Adoption
true,Dog,M,false,24,Labrador Retriever,Rottweiler,Black,Brown,Adoption
true,Cat,F,false,132,Domestic Shorthair Mix,,Tortie,,Transfer
false,Dog,M,false,2,Dachshund,Manchester Terrier,Tricolor,,Adoption
true,Cat,M,false,2,Domestic Shorthair Mix,,White,Black,Transfer
true,Cat,F,true,2,Domestic Shorthair Mix,,Brown Tabby,,Adoption
true,Dog,F,false,1,Plott Hound,Labrador Retriever,Black,Brown Brindle,Adoption
true,Dog,F,false,84,Chihuahua Shorthair,Rat Terrier,White,Tan,Return_to_owner
false,Cat,M,true,0,Domestic Shorthair Mix,,Cream Tabby,White,Transfer
true,Dog,M,false,48,Siberian Husky,,White,Gray,Return_to_owner
true,Dog,F,false,24,Australian Cattle Dog Mix,,Tan,White,Transfer
true,Dog,F,false,12,Pointer Mix,,White,Black,Return_to_owner
true,Dog,M,false,24,Pit Bull Mix,,Brown Brindle,White,Return_to_owner
false,Cat,F,true,0,Domestic Medium Hair Mix,,Brown Tabby,,Transfer
true,Cat,F,true,12,Domestic Shorthair Mix,,Black,White,Transfer
true,Dog,F,false,24,Yorkshire Terrier,Miniature Poodle,Tan,Silver,Adoption
false,Cat,M,true,10,Domestic Shorthair Mix,,Orange Tabby,,Transfer
true,Dog,F,false,48,German Shepherd Mix,,White,,Transfer
true,Cat,F,false,4,Domestic Shorthair Mix,,Brown Tabby,White,Adoption
true,Dog,F,false,72,Catahoula,Labrador Retriever,White,Tan,Transfer
false,Dog,F,false,9,Miniature Poodle Mix,,Black,White,Adoption
true,Dog,F,false,36,Jack Russell Terrier,Pit Bull,Red,,Adoption
true,Cat,F,false,8,Domestic Shorthair Mix,,Torbie,,Adoption
true,Dog,F,false,10,Queensland Heeler,Shetland Sheepdog,Red Tick,Black,Adoption
false,Cat,M,false,12,Domestic Shorthair Mix,,White,Cream Tabby,Transfer
true,Dog,M,false,12,Catahoula Mix,,Blue Merle,,Adoption
true,Dog,M,false,12,Labrador Retriever Mix,,Black,White,Adoption
true,Dog,M,false,3,Labrador Retriever Mix,,Yellow,,Adoption
true,Dog,M,true,72,Chihuahua Shorthair Mix,,Chocolate,Tan,Return_to_owner
false,Cat,,,12,Domestic Longhair Mix,,Black,,Transfer
true,Dog,M,false,24,American Pit Bull Terrier Mix,,Tan,White,Return_to_owner
false,Dog,F,false,60,Dachshund Longhair Mix,,Tan,White,Adoption
false,Cat,M,false,144,Domestic Longhair Mix,,Orange Tabby,White,Euthanasia
true,Dog,F,false,24,German Shepherd Mix,,Sable,,Adoption
true,Dog,M,false,72,Labrador Retriever Mix,,Black,White,Adoption
true,Cat,M,false,3,Domestic Shorthair Mix,,Black,,Adoption
true,Dog,F,false,8,Doberman Pinsch Mix,,Tricolor,,Return_to_owner
true,Cat,M,false,12,Domestic Shorthair Mix,,Black,,Transfer
true,Cat,F,true,180,Domestic Shorthair Mix,,Black,,Transfer
false,Dog,F,true,0,Pointer Mix,,Chocolate,White,Transfer
true,Dog,M,false,5,Dachshund,Jack Russell Terrier,White,Brown,Adoption
false,Dog,M,false,24,Miniature Poodle,Miniature Schnauzer,Black,White,Adoption
true,Dog,F,false,24,Whippet Mix,,Brown Brindle,White,Adoption
true,Dog,M,true,24,Australian Shepherd Mix,,Brown Merle,White,Return_to_owner
false,Dog,F,false,24,Labrador Retriever Mix,,Tan,White,Adoption
false,Cat,F,true,0,Domestic Shorthair Mix,,Calico,,Transfer
true,Dog,F,false,12,Pit Bull Mix,,Brown Tiger,White,Transfer
false,Cat,M,true,24,Domestic Shorthair Mix,,Brown Tabby,White,Transfer
true,Cat,M,true,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
true,Dog,M,false,48,Chihuahua Shorthair Mix,,White,Brown,Transfer
false,Cat,M,true,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
true,Cat,M,true,2,Domestic Shorthair Mix,,Black,,Adoption
true,Dog,F,false,12,Rat Terrier Mix,,White,Black,Transfer
true,Dog,F,false,2,English Pointer Mix,,Brown,White,Adoption
true,Dog,F,false,12,Miniature Schnauzer,Yorkshire Terrier,Black,White,Adoption
false,Dog,F,false,36,Cairn Terrier Mix,,Buff,,Adoption
true,Dog,M,false,108,Labrador Retriever,Pit Bull,Black,,Euthanasia
true,Cat,F,false,24,Domestic Shorthair Mix,,White,Black,Return_to_owner
false,Dog,F,false,60,Great Dane,,Black,White,Transfer
true,Dog,M,true,24,Chihuahua Shorthair Mix,,Black,White,Return_to_owner
true,Dog,M,false,24,Chesa Bay Retr,,Brown,,Return_to_owner
true,Dog,M,false,84,German Shepherd,,Brown,Black,Return_to_owner
false,Cat,F,true,12,Domestic Shorthair Mix,,Brown Tabby,White,Transfer
true,Cat,F,false,72,Domestic Shorthair Mix,,Black,White,Adoption
true,Cat,M,false,2,Domestic Shorthair Mix,,Orange Tabby,White,Adoption
true,Dog,F,false,12,Chihuahua Shorthair Mix,,Tan,Black,Return_to_owner
false,Cat,M,false,2,Domestic Shorthair Mix,,Orange Tabby,White,Adoption
true,Dog,F,false,72,Plott Hound Mix,,Brown Brindle,,Return_to_owner
false,Cat,M,true,2,Domestic Shorthair Mix,,Brown Tabby,White,Transfer
true,Dog,F,false,24,Chihuahua Shorthair Mix,,Brown,Black,Adoption
true,Cat,M,false,84,Siamese Mix,,Flame Point,,Adoption
true,Cat,F,false,3,Domestic Shorthair Mix,,Brown Tabby,White,Adoption
true,Dog,M,false,36,Chow Chow Mix,,Red,,Adoption
false,Cat,F,true,24,Domestic Shorthair Mix,,Black,,Transfer
false,Dog,F,false,84,English Pointer,,Liver,White,Adoption
false,Cat,M,true,1,Domestic Shorthair Mix,,White,Blue Tabby,Euthanasia
true,Dog,F,false,24,Pit Bull Mix,,Brown,White,Return_to_owner
true,Dog,F,true,5,Boxer Mix,,Black,White,Return_to_owner
true,Dog,M,false,48,Basset Hound,Labrador Retriever,Black,White,Transfer
true,Dog,M,false,24,Labrador Retriever Mix,,Buff,,Return_to_owner
true,Dog,F,false,84,Airedale Terrier Mix,,Tricolor,,Transfer
true,Dog,M,false,12,Labrador Retriever,Chow Chow,Brown,,Adoption
false,Cat,M,false,1,Domestic Shorthair Mix,,Orange Tabby,White,Transfer
true,Dog,M,false,1,Beagle,German Shepherd,Black,Brown,Adoption
true,Cat,M,false,2,Manx Mix,,White,Black,Adoption
false,Cat,F,true,36,Domestic Shorthair Mix,,Blue,,Transfer
true,Dog,F,false,48,Chihuahua Shorthair,Rat Terrier,Tan,White,Transfer
true,Dog,F,false,12,Pit Bull Mix,,Black,White,Adoption
true,Dog,F,false,24,Flat Coat Retriever Mix,,Black,White,Adoption
true,Dog,F,false,120,Cocker Spaniel,,Buff,,Transfer
true,Cat,M,false,2,Domestic Shorthair Mix,,Brown Tabby,,Adoption
true,Dog,F,false,120,Chihuahua Shorthair Mix,,Tan,,Adoption
true,Cat,F,false,24,Domestic Longhair Mix,,Brown Tabby,White,Adoption
true,Dog,F,false,84,Rat Terrier Mix,,White,Black,Return_to_owner
false,Dog,M,false,12,Border Terrier,Chihuahua Shorthair,Tan,Black,Adoption
true,Dog,M,false,60,Pit Bull Mix,,Brown Brindle,White,Transfer
true,Dog,F,false,72,Chihuahua Shorthair Mix,,Black,Gray,Return_to_owner
false,Cat,,,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
false,Dog,F,false,84,Pit Bull Mix,,Tan,White,Euthanasia
true,Dog,M,false,12,Chihuahua Longhair Mix,,Black,,Adoption
true,Dog,M,false,12,Jack Russell Terrier,Dachshund,White,Brown,Adoption
false,Cat,F,true,0,Domestic Shorthair Mix,,Orange Tabby,,Transfer
false,Cat,F,true,12,Domestic Shorthair Mix,,Orange Tabby,,Transfer
true,Dog,M,false,60,German Shepherd,,Black,Brown,Return_to_owner
true,Dog,F,false,24,Rottweiler Mix,,Black,Tan,Return_to_owner
true,Dog,M,false,10,Siberian Husky Mix,,White,Cream,Adoption
false,Cat,F,true,3,Domestic Shorthair Mix,,Black,,Transfer
true,Dog,M,false,9,Cardigan Welsh Corgi,Cardigan Welsh Corgi,Fawn,White,Adoption
false,Cat,F,true,1,Domestic Shorthair Mix,,Black,White,Transfer
false,Cat,,,0,Domestic Shorthair Mix,,Blue,,Transfer
false,Cat,F,false,60,Domestic Shorthair Mix,,Calico,,Transfer
false,Dog,F,false,8,Chihuahua Shorthair Mix,,Chocolate,White,Adoption
false,Dog,M,true,12,Cairn Terrier Mix,,Cream,,Transfer
true,Cat,F,false,2,Domestic Shorthair Mix,,Orange Tabby,,Adoption
true,Cat,M,false,3,Domestic Shorthair,,Black,White,Return_to_owner
true,Dog,M,true,168,Chihuahua Shorthair Mix,,Chocolate,White,Return_to_owner
true,Dog,M,false,84,Labrador Retriever Mix,,Chocolate,,Return_to_owner
true,Dog,M,false,24,Shih Tzu,,Gray,White,Adoption
true,Dog,F,false,6,Plott Hound Mix,,Brown Brindle,,Transfer
true,Dog,M,false,11,Australian Shepherd Mix,,Tan,White,Adoption
true,Dog,M,false,36,Chihuahua Shorthair Mix,,Tan,White,Adoption
true,Cat,F,true,2,Domestic Longhair Mix,,Black,White,Transfer
true,Dog,M,false,12,Labrador Retriever,Border Collie,Black,White,Adoption
false,Cat,F,true,0,Siamese Mix,,Blue Point,,Euthanasia
true,Dog,M,false,48,Chihuahua Shorthair Mix,,White,Brown,Euthanasia
true,Cat,M,false,96,Domestic Medium Hair Mix,,Orange Tabby,,Adoption
true,Cat,F,false,3,Domestic Shorthair Mix,,Calico,,Adoption
true,Dog,F,false,2,Australian Cattle Dog Mix,,Brown,White,Adoption
false,Cat,F,false,4,Domestic Shorthair Mix,,Tortie,,Adoption
false,Dog,M,true,24,Labrador Retriever,Great Dane,Tan,Black,Euthanasia
true,Dog,M,false,72,Dachshund Mix,,Brown,,Return_to_owner
true,Dog,F,false,11,Boxer Mix,,Brown Brindle,White,Transfer
false,Dog,F,false,12,Labrador Retriever Mix,,Tan,White,Transfer
false,Dog,M,false,48,Shih Tzu,Miniature Poodle,Apricot,White,Transfer
true,Cat,M,false,2,Domestic Medium Hair Mix,,Blue,White,Adoption
false,Dog,M,false,24,Pit Bull Mix,,Red,,Transfer
false,Dog,F,false,2,Australian Cattle Dog Mix,,Red Merle,Black,Adoption
true,Cat,M,false,6,Domestic Shorthair Mix,,Black,,Adoption
true,Cat,M,false,96,Domestic Shorthair Mix,,Black,White,Adoption
true,Cat,M,false,36,Domestic Shorthair Mix,,Brown Tabby,,Return_to_owner
true,Dog,M,false,24,Chihuahua Shorthair Mix,,Brown,White,Adoption
false,Dog,M,true,2,Australian Cattle Dog Mix,,White,Brown,Transfer
false,Cat,F,true,0,Domestic Shorthair Mix,,Tortie,,Transfer
true,Cat,F,false,2,Domestic Shorthair Mix,,Brown Tabby,,Adoption
true,Dog,M,false,48,German Shepherd Mix,,Brown,,Adoption
true,Cat,M,false,60,Domestic Shorthair Mix,,Brown Tabby,White,Transfer
true,Dog,F,false,24,Pointer Mix,,Chocolate,White,Adoption
false,Cat,F,true,6,Domestic Medium Hair Mix,,Calico,,Transfer
false,Dog,F,false,24,Miniature Poodle Mix,,Black,Gray,Transfer
true,Dog,F,false,120,Collie Smooth,Chow Chow,Sable,,Return_to_owner
false,Cat,M,true,6,Domestic Shorthair Mix,,Black,White,Transfer
true,Cat,F,true,2,Domestic Shorthair Mix,,Calico,,Transfer
true,Dog,M,false,6,Cocker Spaniel Mix,,Sable,,Adoption
true,Dog,M,false,96,Chihuahua Shorthair Mix,,Tricolor,,Return_to_owner
false,Dog,M,false,6,Labrador Retriever Mix,,Buff,,Adoption
false,Cat,M,true,3,Siamese Mix,,Seal Point,,Transfer
true,Dog,F,false,12,Rottweiler,Labrador Retriever,Black,Tan,Adoption
true,Dog,F,false,12,Chihuahua Shorthair Mix,,Brown,Black,Adoption
true,Dog,M,false,2,Boxer Mix,,Tricolor,,Adoption
false,Cat,,,0,Domestic Shorthair Mix,,Blue Tabby,,Transfer
false,Dog,F,false,24,Chihuahua Shorthair Mix,,Tan,,Adoption
false,Cat,F,false,2,Domestic Shorthair Mix,,Orange Tabby,White,Adoption
true,Cat,M,false,9,Domestic Shorthair Mix,,White,Brown Tabby,Return_to_owner
false,Dog,F,false,48,Rat Terrier Mix,,Black,White,Transfer
true,Dog,M,false,4,German Shepherd,Siberian Husky,Red,White,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,White,,Transfer
true,Dog,M,true,72,Dachshund,,Blue Merle,White,Transfer
true,Dog,F,false,2,Border Collie,Labrador Retriever,Black,White,Adoption
false,Cat,F,true,8,Domestic Shorthair Mix,,Blue Tabby,,Transfer
true,Cat,M,true,1,Domestic Shorthair Mix,,Black,White,Transfer
false,Cat,F,true,4,Domestic Shorthair Mix,,Black,,Transfer
true,Cat,F,true,2,Domestic Shorthair Mix,,Torbie,,Adoption
true,Dog,F,true,24,Pit Bull Mix,,Fawn,,Return_to_owner
false,Dog,M,false,4,Collie Smooth,Labrador Retriever,Tricolor,,Adoption
false,Cat,M,true,12,Domestic Shorthair Mix,,Brown Tabby,,Transfer
false,Cat,F,false,3,Siamese Mix,,Lynx Point,White,Adoption
false,Cat,M,true,2,Domestic Shorthair Mix,,Black,White,Transfer
true,Cat,F,false,4,Domestic Shorthair Mix,,Orange Tabby,White,Adoption
true,Dog,M,false,60,Plott Hound,Rhod Ridgeback,Brown Brindle,,Adoption
true,Dog,F,false,24,Pit Bull Mix,,Fawn,White,Return_to_owner
false,Cat,F,true,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
true,Cat,F,false,2,Domestic Shorthair Mix,,Black,,Adoption
false,Dog,F,false,10,Chihuahua Shorthair Mix,,Tan,White,Adoption
false,Dog,M,false,24,Pointer,Labrador Retriever,Black,White,Transfer
true,Dog,F,false,10,Anatol Shepherd,Great Pyrenees,White,,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,Blue,,Transfer
true,Dog,M,false,12,Anatol Shepherd,,Fawn,Black,Return_to_owner
true,Cat,F,false,7,Domestic Shorthair Mix,,Brown Tabby,White,Adoption
true,Dog,F,false,24,Pit Bull Mix,,Brown,White,Adoption
true,Dog,F,false,84,Great Dane,,Black,White,Transfer
true,Cat,M,false,2,Domestic Shorthair Mix,,Brown Tabby,,Adoption
true,Cat,M,false,144,Domestic Shorthair Mix,,Black,White,Euthanasia
true,Dog,F,true,36,Australian Cattle Dog Mix,,Tricolor,,Transfer
true,Cat,F,false,3,Domestic Shorthair Mix,,Black,White,Transfer
true,Dog,F,false,24,Chinese Sharpei,Australian Cattle Dog,Red Tick,White,Adoption
true,Dog,F,true,144,Labrador Retriever Mix,,Yellow,,Return_to_owner
true,Dog,F,false,12,Flat Coat Retriever Mix,,Black,,Adoption
false,Dog,M,false,36,Labrador Retriever Mix,,Yellow,,Transfer
true,Cat,F,false,1,Domestic Shorthair Mix,,Calico,,Adoption
